,precision,recall,f1-score,support
354,0.0,0.0,0.0,1.0
524,0.0,0.0,0.0,1.0
934,0.0,0.0,0.0,1.0
1109,0.0,0.0,0.0,1.0
1168,0.0,0.0,0.0,1.0
1170,0.0,0.0,0.0,1.0
1195,0.0,0.0,0.0,1.0
1197,0.0,0.0,0.0,1.0
1228,0.0,0.0,0.0,1.0
1270,0.0,0.0,0.0,1.0
1361,0.0,0.0,0.0,1.0
1506,0.0,0.0,0.0,1.0
2022,0.0,0.0,0.0,1.0
2201,0.0,0.0,0.0,1.0
2854,0.0,0.0,0.0,1.0
3076,0.0,0.0,0.0,1.0
3155,0.0,0.0,0.0,1.0
3177,0.0,0.0,0.0,1.0
3185,0.0,0.0,0.0,1.0
3186,0.0,0.0,0.0,3.0
3195,0.0,0.0,0.0,1.0
3215,0.0,0.0,0.0,1.0
3595,0.0,0.0,0.0,1.0
4135,0.0,0.0,0.0,1.0
4289,0.0,0.0,0.0,1.0
4327,0.0,0.0,0.0,1.0
4422,0.0,0.0,0.0,1.0
4436,0.0,0.0,0.0,1.0
4445,0.0,0.0,0.0,1.0
4457,0.0,0.0,0.0,1.0
4687,0.0,0.0,0.0,1.0
4702,0.0,0.0,0.0,1.0
4704,0.0,0.0,0.0,1.0
4707,0.0,0.0,0.0,1.0
4712,0.0,0.0,0.0,3.0
4720,0.0,0.0,0.0,2.0
4727,0.0,0.0,0.0,2.0
4736,0.0,0.0,0.0,1.0
4747,0.0,0.0,0.0,1.0
4799,0.0,0.0,0.0,4.0
4819,0.0,0.0,0.0,1.0
4827,0.0,0.0,0.0,1.0
4985,0.0,0.0,0.0,1.0
4987,0.0,0.0,0.0,1.0
5017,0.0,0.0,0.0,1.0
5069,0.0,0.0,0.0,1.0
5087,0.0,0.0,0.0,1.0
5105,0.0,0.0,0.0,1.0
5122,0.0,0.0,0.0,1.0
5125,0.0,0.0,0.0,1.0
5153,0.0,0.0,0.0,1.0
5165,0.0,0.0,0.0,1.0
5180,0.0,0.0,0.0,1.0
5466,0.0,0.0,0.0,1.0
5557,0.0,0.0,0.0,1.0
5565,0.0,0.0,0.0,1.0
5569,0.0,0.0,0.0,1.0
5575,0.0,0.0,0.0,1.0
5577,0.0,0.0,0.0,1.0
5734,0.0,0.0,0.0,1.0
5754,0.0,0.0,0.0,1.0
5879,0.0,0.0,0.0,1.0
5941,0.0,0.0,0.0,1.0
6025,0.0,0.0,0.0,1.0
6055,0.0,0.0,0.0,2.0
6060,0.0,0.0,0.0,2.0
6064,0.0,0.0,0.0,1.0
6066,0.0,0.0,0.0,1.0
6067,0.0,0.0,0.0,1.0
6079,0.0,0.0,0.0,1.0
6083,0.0,0.0,0.0,1.0
6084,0.0,0.0,0.0,1.0
6102,0.01903114186851211,0.8461538461538461,0.03722504230118443,13.0
6103,0.0,0.0,0.0,1.0
6113,0.0,0.0,0.0,2.0
6117,0.0,0.0,0.0,2.0
6128,0.0,0.0,0.0,1.0
6140,0.0,0.0,0.0,2.0
6144,0.0,0.0,0.0,1.0
6147,0.0,0.0,0.0,2.0
6160,0.0,0.0,0.0,2.0
6168,0.0,0.0,0.0,1.0
6178,0.0,0.0,0.0,3.0
6182,0.0,0.0,0.0,3.0
6183,0.0,0.0,0.0,1.0
6185,0.0,0.0,0.0,6.0
6198,0.0,0.0,0.0,1.0
6211,0.0,0.0,0.0,1.0
6214,0.0,0.0,0.0,3.0
6215,0.0,0.0,0.0,1.0
6230,0.0,0.0,0.0,1.0
6279,0.0,0.0,0.0,1.0
6339,0.0,0.0,0.0,1.0
6370,0.0,0.0,0.0,1.0
6659,0.0,0.0,0.0,1.0
6690,0.0,0.0,0.0,1.0
6699,0.0,0.0,0.0,1.0
6954,0.0,0.0,0.0,1.0
6965,0.0,0.0,0.0,1.0
7024,0.0,0.0,0.0,1.0
7029,0.0,0.0,0.0,3.0
7057,0.0,0.0,0.0,1.0
7066,0.0,0.0,0.0,1.0
7075,0.0,0.0,0.0,2.0
7085,0.0,0.0,0.0,1.0
7088,0.0,0.0,0.0,1.0
7090,0.0,0.0,0.0,2.0
7209,0.0,0.0,0.0,1.0
7348,0.0,0.0,0.0,1.0
7389,0.0,0.0,0.0,1.0
7749,0.0,0.0,0.0,1.0
7869,0.0,0.0,0.0,1.0
8103,0.0,0.0,0.0,1.0
8104,0.0,0.0,0.0,1.0
8176,0.0,0.0,0.0,1.0
9259,0.0,0.0,0.0,1.0
10619,0.0,0.0,0.0,1.0
10928,0.0,0.0,0.0,1.0
11303,0.0,0.0,0.0,1.0
11353,0.0,0.0,0.0,1.0
11393,0.0,0.0,0.0,1.0
11404,0.0,0.0,0.0,1.0
11411,0.0,0.0,0.0,1.0
11415,0.0,0.0,0.0,1.0
11466,0.0,0.0,0.0,0.0
11471,0.0,0.0,0.0,1.0
11772,0.0,0.0,0.0,2.0
11776,0.0,0.0,0.0,1.0
11809,0.0,0.0,0.0,1.0
11838,0.0,0.0,0.0,1.0
12976,0.0,0.0,0.0,2.0
13004,0.0,0.0,0.0,1.0
13404,0.0,0.0,0.0,1.0
13702,0.0,0.0,0.0,1.0
13800,0.0,0.0,0.0,1.0
13810,0.0,0.0,0.0,5.0
13815,0.0,0.0,0.0,1.0
13867,0.0,0.0,0.0,1.0
14780,0.0,0.0,0.0,1.0
15463,0.0,0.0,0.0,1.0
15513,0.0,0.0,0.0,1.0
15537,0.0,0.0,0.0,1.0
15553,0.0,0.0,0.0,3.0
15554,0.0,0.0,0.0,1.0
15579,0.0,0.0,0.0,4.0
15583,0.0,0.0,0.0,3.0
15584,0.0,0.0,0.0,2.0
15586,0.0,0.0,0.0,1.0
15593,0.0,0.0,0.0,1.0
15597,0.0,0.0,0.0,9.0
15599,0.0,0.0,0.0,8.0
15613,0.0,0.0,0.0,1.0
15615,0.0,0.0,0.0,1.0
15626,0.0,0.0,0.0,1.0
15632,0.0,0.0,0.0,1.0
15635,0.0,0.0,0.0,1.0
15638,0.0,0.0,0.0,1.0
15898,0.0,0.0,0.0,1.0
15937,0.0,0.0,0.0,1.0
16214,0.0,0.0,0.0,1.0
16251,0.0,0.0,0.0,1.0
16306,0.0,0.0,0.0,1.0
16311,0.0,0.0,0.0,1.0
16327,0.0,0.0,0.0,1.0
16365,0.0,0.0,0.0,1.0
16386,0.0,0.0,0.0,1.0
16454,0.0,0.0,0.0,1.0
16511,0.0,0.0,0.0,1.0
16844,0.0,0.0,0.0,1.0
17274,0.0,0.0,0.0,1.0
17511,0.0,0.0,0.0,1.0
17619,0.0,0.0,0.0,1.0
17647,0.0,0.0,0.0,1.0
17854,0.0,0.0,0.0,1.0
18012,0.0,0.0,0.0,1.0
18371,0.0,0.0,0.0,2.0
18436,0.0,0.0,0.0,1.0
18966,0.0,0.0,0.0,1.0
19008,0.0,0.0,0.0,1.0
19023,0.0,0.0,0.0,1.0
19025,0.0,0.0,0.0,1.0
19204,0.0,0.0,0.0,1.0
19282,0.0,0.0,0.0,1.0
19380,0.0,0.0,0.0,1.0
19389,0.0,0.0,0.0,1.0
19797,0.0,0.0,0.0,1.0
19967,0.0,0.0,0.0,1.0
20091,0.0,0.0,0.0,1.0
20265,0.0,0.0,0.0,1.0
20310,0.0,0.0,0.0,2.0
20528,0.0,0.0,0.0,3.0
21633,0.0,0.0,0.0,1.0
21663,0.0,0.0,0.0,1.0
21943,0.0,0.0,0.0,1.0
22429,0.0,0.0,0.0,1.0
22513,0.0,0.0,0.0,1.0
22516,0.0,0.0,0.0,1.0
22583,0.0,0.0,0.0,1.0
22667,0.0,0.0,0.0,1.0
23035,0.0,0.0,0.0,1.0
23044,0.0,0.0,0.0,1.0
